id,symbol,start_date,end_date,start_price,end_price,return_pct,market_cap_at_start,sector,industry,peak_date,peak_price,peak_return_pct,52w_low_before,accumulation_distribution_ratio,accumulation_signal,avg_vix,buy_signals,daily_volatility_pct,days_below_10,days_below_20,days_from_start_to_buy_signal,entry_price,first_buy_signal_date,first_buy_signal_price,first_price_breakout_date,first_price_breakout_type,first_volume_breakout_date,first_volume_breakout_ratio,fmp_data_available,institutional_pct,max_daily_move_6m_pct,monthly_prices_prior,pct_above_52w_low,price_breakout_days,prior_year_trend_pct,return_from_buy_signal_to_peak_pct,short_pct_of_float,spy_return_same_period,volume_breakout_days,volume_ratio_3m_vs_12m
41,NVAX,2020-02-07,2021-02-08,6.31,319.93,4970.21,1037604531.0,Healthcare,Biotechnology,2021-02-08,319.93,4970.21,3.69,0.84,No,30.31,[],8.8732,194,238,,6.84,,,2021-01-29,52w_high,2020-02-26,5.43,No,0.72733,71.08,"{""M01"": 5.84, ""M02"": 33.2858, ""M03"": 11.1619, ""M04"": 10.9429, ""M05"": 7.0345, ""M06"": 5.547, ""M07"": 4.7759, ""M08"": 5.6641, ""M09"": 6.03, ""M10"": 4.6243, ""M11"": 4.1535, ""M12"": 4.1976}",85.37,"[{""date"": ""2021-01-29"", ""type"": ""52w_high"", ""price"": 220.94}, {""date"": ""2021-02-03"", ""type"": ""52w_high"", ""price"": 284.21}, {""date"": ""2021-02-05"", ""type"": ""52w_high"", ""price"": 290.18}]",-80.79,,0.2854,18.89,"[{""date"": ""2020-02-26"", ""volume_ratio"": 5.43, ""price"": 9.22, ""change_pct"": 15.97}, {""date"": ""2020-02-27"", ""volume_ratio"": 4.89, ""price"": 11.8, ""change_pct"": 27.98}, {""date"": ""2020-02-28"", ""volume_ratio"": 5.0, ""price"": 16.0, ""change_pct"": 35.59}, {""date"": ""2020-04-20"", ""volume_ratio"": 3.55, ""price"": 23.8, ""change_pct"": 24.74}, {""date"": ""2020-05-11"", ""volume_ratio"": 3.44, ""price"": 24.5, ""change_pct"": 30.81}, {""date"": ""2020-05-12"", ""volume_ratio"": 6.98, ""price"": 39.82, ""change_pct"": 62.53}, {""date"": ""2020-07-07"", ""volume_ratio"": 3.26, ""price"": 104.56, ""change_pct"": 31.62}, {""date"": ""2020-11-30"", ""volume_ratio"": 3.42, ""price"": 139.5, ""change_pct"": 10.99}, {""date"": ""2021-01-29"", ""volume_ratio"": 7.07, ""price"": 220.94, ""change_pct"": 64.87}]",2.47
40,NIO,2019-11-22,2020-11-23,1.94,55.38,2754.64,4572904023.0,Consumer Cyclical,Auto Manufacturers,2020-11-23,55.38,2754.64,1.32,0.61,No,28.37,"[{""date"": ""2020-06-03"", ""volume_ratio"": 4.08, ""price_breakout_type"": ""52w_high"", ""price"": 5.6}, {""date"": ""2020-06-03"", ""volume_ratio"": 4.08, ""price_breakout_type"": ""52w_high"", ""price"": 5.6}, {""date"": ""2020-06-30"", ""volume_ratio"": 3.14, ""price_breakout_type"": ""52w_high"", ""price"": 11.51}, {""date"": ""2020-07-06"", ""volume_ratio"": 3.14, ""price_breakout_type"": ""52w_high"", ""price"": 11.51}, {""date"": ""2020-06-30"", ""volume_ratio"": 3.61, ""price_breakout_type"": ""52w_high"", ""price"": 13.22}, {""date"": ""2020-07-07"", ""volume_ratio"": 3.61, ""price_breakout_type"": ""52w_high"", ""price"": 13.22}, {""date"": ""2020-08-25"", ""volume_ratio"": 3.37, ""price_breakout_type"": ""52w_high"", ""price"": 17.84}]",5.5775,249,251,194,1.98,2020-06-03,5.6,2020-06-03,52w_high,2019-12-30,7.75,Yes,0.26669002,36.84,"{""M01"": 6.6924, ""M02"": 8.1011, ""M03"": 6.5633, ""M04"": 4.9948, ""M05"": 4.3155, ""M06"": 2.6555, ""M07"": 3.3773, ""M08"": 3.0159, ""M09"": 2.757, ""M10"": 1.5335, ""M11"": 3.5371, ""M12"": 6.9047}",50.0,"[{""date"": ""2020-06-03"", ""type"": ""52w_high"", ""price"": 5.6}, {""date"": ""2020-06-08"", ""type"": ""52w_high"", ""price"": 5.97}, {""date"": ""2020-06-15"", ""type"": ""52w_high"", ""price"": 6.83}, {""date"": ""2020-06-18"", ""type"": ""52w_high"", ""price"": 7.18}, {""date"": ""2020-06-30"", ""type"": ""52w_high"", ""price"": 7.72}, {""date"": ""2020-07-09"", ""type"": ""52w_high"", ""price"": 14.57}, {""date"": ""2020-08-25"", ""type"": ""52w_high"", ""price"": 17.84}, {""date"": ""2020-09-29"", ""type"": ""52w_high"", ""price"": 20.85}, {""date"": ""2020-10-12"", ""type"": ""52w_high"", ""price"": 21.85}, {""date"": ""2020-10-14"", ""type"": ""52w_high"", ""price"": 26.5}]",-75.54,888.93,0.0723,16.48,"[{""date"": ""2019-12-30"", ""volume_ratio"": 7.75, ""price"": 3.72, ""change_pct"": 53.72}, {""date"": ""2020-06-03"", ""volume_ratio"": 4.08, ""price"": 5.6, ""change_pct"": 19.15}, {""date"": ""2020-07-06"", ""volume_ratio"": 3.14, ""price"": 11.51, ""change_pct"": 22.71}, {""date"": ""2020-07-07"", ""volume_ratio"": 3.61, ""price"": 13.22, ""change_pct"": 14.86}, {""date"": ""2020-08-25"", ""volume_ratio"": 3.37, ""price"": 17.84, ""change_pct"": 19.17}, {""date"": ""2020-08-26"", ""volume_ratio"": 3.52, ""price"": 20.44, ""change_pct"": 14.57}, {""date"": ""2020-10-14"", ""volume_ratio"": 4.32, ""price"": 26.5, ""change_pct"": 22.57}, {""date"": ""2020-10-15"", ""volume_ratio"": 3.66, ""price"": 28.07, ""change_pct"": 5.92}]",1.25
43,PENN,2020-03-18,2021-03-18,4.52,111.94,2376.55,604524919.0,Consumer Cyclical,Resorts & Casinos,2021-03-15,136.47,2919.25,7.33,0.65,No,29.04,[],4.5115,2,103,,7.33,,,2020-09-22,52w_high,2020-03-20,4.13,No,1.04813,44.8,"{""M01"": 26.6929, ""M02"": 34.4705, ""M03"": 20.0757, ""M04"": 21.309, ""M05"": 20.3232, ""M06"": 19.185, ""M07"": 18.8918, ""M08"": 18.2695, ""M09"": 19.699, ""M10"": 19.9687, ""M11"": 22.213, ""M12"": 24.6719}",0.0,"[{""date"": ""2020-09-22"", ""type"": ""52w_high"", ""price"": 74.36}, {""date"": ""2020-12-08"", ""type"": ""52w_high"", ""price"": 78.77}, {""date"": ""2020-12-14"", ""type"": ""52w_high"", ""price"": 79.01}, {""date"": ""2021-01-11"", ""type"": ""52w_high"", ""price"": 100.38}, {""date"": ""2021-01-14"", ""type"": ""52w_high"", ""price"": 106.43}, {""date"": ""2021-01-21"", ""type"": ""52w_high"", ""price"": 107.19}, {""date"": ""2021-02-02"", ""type"": ""52w_high"", ""price"": 110.61}, {""date"": ""2021-02-04"", ""type"": ""52w_high"", ""price"": 118.34}, {""date"": ""2021-03-11"", ""type"": ""52w_high"", ""price"": 130.97}, {""date"": ""2021-03-15"", ""type"": ""52w_high"", ""price"": 136.47}]",21.88,,0.1908,68.62,"[{""date"": ""2020-03-20"", ""volume_ratio"": 4.13, ""price"": 7.89, ""change_pct"": 29.56}]",1.62
46,PLUG,2020-01-27,2021-01-26,3.81,73.18,1820.73,5314285426.0,Industrials,Electrical Equipment & Parts,2021-01-26,73.18,1820.73,1.34,1.24,No,29.93,"[{""date"": ""2020-08-06"", ""volume_ratio"": 3.32, ""price_breakout_type"": ""52w_high"", ""price"": 10.73}]",3.8173,251,251,192,3.9,2020-08-06,10.73,2020-08-06,52w_high,2020-02-19,3.82,No,0.57418996,18.27,"{""M01"": 3.44, ""M02"": 1.5637, ""M03"": 2.25, ""M04"": 2.5538, ""M05"": 2.4755, ""M06"": 2.413, ""M07"": 2.2864, ""M08"": 2.1286, ""M09"": 2.56, ""M10"": 2.7409, ""M11"": 3.2875, ""M12"": 3.1329}",191.04,"[{""date"": ""2020-08-06"", ""type"": ""52w_high"", ""price"": 10.73}, {""date"": ""2020-08-17"", ""type"": ""52w_high"", ""price"": 12.2}, {""date"": ""2020-09-01"", ""type"": ""52w_high"", ""price"": 14.13}, {""date"": ""2020-10-02"", ""type"": ""52w_high"", ""price"": 14.14}, {""date"": ""2020-10-09"", ""type"": ""52w_high"", ""price"": 18.43}, {""date"": ""2020-11-05"", ""type"": ""52w_high"", ""price"": 18.84}, {""date"": ""2020-11-11"", ""type"": ""52w_high"", ""price"": 23.0}, {""date"": ""2020-11-16"", ""type"": ""52w_high"", ""price"": 25.0}, {""date"": ""2020-11-23"", ""type"": ""52w_high"", ""price"": 26.87}, {""date"": ""2020-12-08"", ""type"": ""52w_high"", ""price"": 28.74}]",153.4,582.01,0.2784,21.04,"[{""date"": ""2020-02-19"", ""volume_ratio"": 3.82, ""price"": 5.72, ""change_pct"": 17.94}, {""date"": ""2020-06-23"", ""volume_ratio"": 3.68, ""price"": 6.43, ""change_pct"": 15.44}, {""date"": ""2020-06-24"", ""volume_ratio"": 3.88, ""price"": 7.57, ""change_pct"": 17.73}, {""date"": ""2020-08-06"", ""volume_ratio"": 3.32, ""price"": 10.73, ""change_pct"": 15.01}]",2.05
3,AMC,2020-11-06,2021-11-08,24.9,450.6,1709.64,18469589168.0,Communication Services,Entertainment,2021-06-02,625.5,2412.05,20.8,0.8,No,19.99,"[{""date"": ""2021-05-26"", ""volume_ratio"": 3.56, ""price_breakout_type"": ""52w_high"", ""price"": 195.6}, {""date"": ""2021-05-26"", ""volume_ratio"": 3.56, ""price_breakout_type"": ""52w_high"", ""price"": 195.6}]",7.8133,0,0,201,24.6,2021-05-26,195.6,2021-05-27,52w_high,2021-01-15,4.26,No,0.3679,17.81,"{""M01"": 68.4751, ""M02"": 67.7632, ""M03"": 37.569, ""M04"": 30.8286, ""M05"": 46.47, ""M06"": 53.5182, ""M07"": 42.4864, ""M08"": 51.5429, ""M09"": 56.4905, ""M10"": 34.0318, ""M11"": 71.669, ""M12"": 78.4284}",18.27,"[{""date"": ""2021-05-27"", ""type"": ""52w_high"", ""price"": 265.2}, {""date"": ""2021-06-01"", ""type"": ""52w_high"", ""price"": 320.4}]",-64.91,219.79,0.1542,35.69,"[{""date"": ""2021-01-15"", ""volume_ratio"": 4.26, ""price"": 23.3, ""change_pct"": 6.88}, {""date"": ""2021-01-19"", ""volume_ratio"": 5.15, ""price"": 30.6, ""change_pct"": 31.33}, {""date"": ""2021-01-22"", ""volume_ratio"": 3.72, ""price"": 35.1, ""change_pct"": 17.79}, {""date"": ""2021-05-13"", ""volume_ratio"": 5.65, ""price"": 127.7, ""change_pct"": 23.74}, {""date"": ""2021-05-26"", ""volume_ratio"": 3.56, ""price"": 195.6, ""change_pct"": 19.2}, {""date"": ""2021-05-27"", ""volume_ratio"": 5.05, ""price"": 265.2, ""change_pct"": 35.58}, {""date"": ""2021-06-02"", ""volume_ratio"": 3.31, ""price"": 625.5, ""change_pct"": 95.22}]",1.41
25,FCEL,2019-12-09,2020-12-08,15.3,263.4,1621.57,810561350.0,Industrials,Electrical Equipment & Parts,2020-11-30,306.0,1900.0,4.8,0.52,No,28.69,"[{""date"": ""2020-11-16"", ""volume_ratio"": 4.8, ""price_breakout_type"": ""52w_high"", ""price"": 112.5}]",15.2669,54,111,343,16.8,2020-11-16,112.5,2020-10-08,ma200_cross,2019-12-31,5.05,No,0.42785,129.17,"{""M01"": 195.9429, ""M02"": 190.9895, ""M03"": 133.2, ""M04"": 95.4857, ""M05"": 50.9045, ""M06"": 12.975, ""M07"": 14.2909, ""M08"": 9.9955, ""M09"": 11.22, ""M10"": 9.0783, ""M11"": 18.84, ""M12"": 152.295}",250.0,"[{""date"": ""2020-10-08"", ""type"": ""ma200_cross"", ""price"": 71.4}, {""date"": ""2020-10-22"", ""type"": ""ma200_cross"", ""price"": 67.8}, {""date"": ""2020-11-03"", ""type"": ""ma200_cross"", ""price"": 69.6}, {""date"": ""2020-11-16"", ""type"": ""52w_high"", ""price"": 112.5}, {""date"": ""2020-11-25"", ""type"": ""52w_high"", ""price"": 265.2}]",-89.69,172.0,0.0739,19.86,"[{""date"": ""2019-12-31"", ""volume_ratio"": 5.05, ""price"": 75.3, ""change_pct"": 49.4}, {""date"": ""2020-04-27"", ""volume_ratio"": 3.22, ""price"": 71.4, ""change_pct"": 13.88}, {""date"": ""2020-06-10"", ""volume_ratio"": 4.76, ""price"": 101.1, ""change_pct"": 29.12}, {""date"": ""2020-08-19"", ""volume_ratio"": 3.91, ""price"": 95.1, ""change_pct"": 3.59}, {""date"": ""2020-11-16"", ""volume_ratio"": 4.8, ""price"": 112.5, ""change_pct"": 31.58}, {""date"": ""2020-11-18"", ""volume_ratio"": 6.08, ""price"": 153.0, ""change_pct"": 23.79}, {""date"": ""2020-11-19"", ""volume_ratio"": 4.38, ""price"": 160.8, ""change_pct"": 5.1}, {""date"": ""2020-11-23"", ""volume_ratio"": 3.74, ""price"": 256.5, ""change_pct"": 54.33}]",1.93
17,CVNA,2023-05-03,2024-05-03,1.414,24.334,1620.93,1012831776.0,Consumer Cyclical,Auto & Truck Dealerships,2024-05-03,24.334,1620.93,0.744,0.77,No,15.01,"[{""date"": ""2024-02-23"", ""volume_ratio"": 4.78, ""price_breakout_type"": ""52w_high"", ""price"": 13.846}, {""date"": ""2024-02-23"", ""volume_ratio"": 4.78, ""price_breakout_type"": ""52w_high"", ""price"": 13.846}]",10.7772,245,251,296,1.444,2024-02-23,13.846,2023-12-19,52w_high,2023-05-08,3.38,No,1.0873799,46.0,"{""M01"": 1.2989, ""M02"": 2.3049, ""M03"": 1.6428, ""M04"": 1.7189, ""M05"": 7.0129, ""M06"": 5.0167, ""M07"": 4.9237, ""M08"": 8.2044, ""M09"": 6.2011, ""M10"": 3.4751, ""M11"": 1.8393, ""M12"": 1.021}",94.09,"[{""date"": ""2023-12-19"", ""type"": ""52w_high"", ""price"": 11.96}, {""date"": ""2024-02-23"", ""type"": ""52w_high"", ""price"": 13.846}, {""date"": ""2024-03-01"", ""type"": ""52w_high"", ""price"": 16.592}, {""date"": ""2024-03-08"", ""type"": ""52w_high"", ""price"": 17.06}, {""date"": ""2024-03-20"", ""type"": ""52w_high"", ""price"": 17.284}, {""date"": ""2024-03-25"", ""type"": ""52w_high"", ""price"": 17.682}, {""date"": ""2024-05-02"", ""type"": ""52w_high"", ""price"": 23.3}]",-77.79,75.75,0.135,25.57,"[{""date"": ""2023-05-08"", ""volume_ratio"": 3.38, ""price"": 2.26, ""change_pct"": 26.12}, {""date"": ""2023-05-09"", ""volume_ratio"": 3.35, ""price"": 2.37, ""change_pct"": 4.87}, {""date"": ""2023-06-08"", ""volume_ratio"": 6.41, ""price"": 4.846, ""change_pct"": 56.02}, {""date"": ""2023-07-19"", ""volume_ratio"": 3.62, ""price"": 11.16, ""change_pct"": 40.2}, {""date"": ""2024-02-23"", ""volume_ratio"": 4.78, ""price"": 13.846, ""change_pct"": 32.09}, {""date"": ""2024-05-01"", ""volume_ratio"": 3.13, ""price"": 17.418, ""change_pct"": 5.03}]",0.88
59,SMMT,2023-09-13,2024-09-13,1.88,31.93,1598.4,1459185773.0,Healthcare,Biotechnology,2024-09-13,31.93,1598.4,0.68,0.7,No,15.05,"[{""date"": ""2024-05-01"", ""volume_ratio"": 3.11, ""price_breakout_type"": ""52w_high"", ""price"": 4.7}, {""date"": ""2024-05-30"", ""volume_ratio"": 6.71, ""price_breakout_type"": ""ma200_cross"", ""price"": 10.92}, {""date"": ""2024-05-30"", ""volume_ratio"": 6.71, ""price_breakout_type"": ""52w_high"", ""price"": 10.92}, {""date"": ""2024-09-09"", ""volume_ratio"": 12.07, ""price_breakout_type"": ""52w_high"", ""price"": 19.14}, {""date"": ""2024-09-09"", ""volume_ratio"": 12.07, ""price_breakout_type"": ""52w_high"", ""price"": 19.14}, {""date"": ""2024-09-09"", ""volume_ratio"": 4.09, ""price_breakout_type"": ""52w_high"", ""price"": 22.97}, {""date"": ""2024-09-10"", ""volume_ratio"": 4.09, ""price_breakout_type"": ""52w_high"", ""price"": 22.97}]",14.775,251,251,231,1.79,2024-05-01,4.7,2024-05-07,52w_high,2023-10-17,5.87,No,0.16478,23.3,"{""M01"": 4.1925, ""M02"": 2.4887, ""M03"": 1.65, ""M04"": 1.5403, ""M05"": 1.7252, ""M06"": 2.1867, ""M07"": 2.1223, ""M08"": 1.8296, ""M09"": 1.3733, ""M10"": 1.1276, ""M11"": 0.9862, ""M12"": 3.3436}",163.24,"[{""date"": ""2024-05-07"", ""type"": ""52w_high"", ""price"": 5.31}, {""date"": ""2024-05-30"", ""type"": ""ma200_cross"", ""price"": 10.92}, {""date"": ""2024-05-30"", ""type"": ""52w_high"", ""price"": 10.92}, {""date"": ""2024-07-26"", ""type"": ""52w_high"", ""price"": 11.55}, {""date"": ""2024-08-15"", ""type"": ""52w_high"", ""price"": 11.87}, {""date"": ""2024-08-19"", ""type"": ""52w_high"", ""price"": 12.25}, {""date"": ""2024-09-09"", ""type"": ""52w_high"", ""price"": 19.14}, {""date"": ""2024-09-12"", ""type"": ""52w_high"", ""price"": 27.41}]",41.94,579.36,0.256,26.96,"[{""date"": ""2023-10-17"", ""volume_ratio"": 5.87, ""price"": 2.02, ""change_pct"": 15.43}, {""date"": ""2024-05-01"", ""volume_ratio"": 3.11, ""price"": 4.7, ""change_pct"": 19.59}, {""date"": ""2024-05-30"", ""volume_ratio"": 6.71, ""price"": 10.92, ""change_pct"": 272.06}, {""date"": ""2024-09-09"", ""volume_ratio"": 12.07, ""price"": 19.14, ""change_pct"": 55.99}, {""date"": ""2024-09-10"", ""volume_ratio"": 4.09, ""price"": 22.97, ""change_pct"": 20.01}, {""date"": ""2024-09-12"", ""volume_ratio"": 3.34, ""price"": 27.41, ""change_pct"": 20.75}]",0.46
27,FUTU,2020-03-31,2021-03-31,9.1058,152.7123,1577.09,871884730.0,Financial Services,Capital Markets,2021-02-16,183.6547,1916.9,8.0193,1.04,No,27.44,[],3.5942,59,252,,8.8847,,,2020-11-13,52w_high,2020-05-20,6.8,No,0.48872003,21.74,"{""M01"": 10.5623, ""M02"": 11.7, ""M03"": 10.1205, ""M04"": 15.4154, ""M05"": 11.9834, ""M06"": 9.6323, ""M07"": 10.6657, ""M08"": 10.1928, ""M09"": 11.1707, ""M10"": 10.2762, ""M11"": 10.54, ""M12"": 9.7043}",10.79,"[{""date"": ""2020-11-13"", ""type"": ""52w_high"", ""price"": 40.4425}, {""date"": ""2020-11-19"", ""type"": ""52w_high"", ""price"": 44.7214}, {""date"": ""2021-01-04"", ""type"": ""52w_high"", ""price"": 47.0579}, {""date"": ""2021-01-08"", ""type"": ""52w_high"", ""price"": 62.0484}, {""date"": ""2021-01-12"", ""type"": ""52w_high"", ""price"": 68.1638}, {""date"": ""2021-01-14"", ""type"": ""52w_high"", ""price"": 70.2023}, {""date"": ""2021-01-19"", ""type"": ""52w_high"", ""price"": 77.9523}, {""date"": ""2021-02-01"", ""type"": ""52w_high"", ""price"": 100.962}, {""date"": ""2021-02-08"", ""type"": ""52w_high"", ""price"": 123.0775}, {""date"": ""2021-02-16"", ""type"": ""52w_high"", ""price"": 183.6547}]",-35.29,,0.0546,55.6,"[{""date"": ""2020-05-20"", ""volume_ratio"": 6.8, ""price"": 14.577, ""change_pct"": 7.37}]",1.06
67,W,2020-03-19,2021-03-19,23.52,335.36,1325.85,2611155238.0,Consumer Cyclical,Internet Retail,2020-08-26,342.4,1355.78,24.92,0.75,No,28.82,[],4.3003,0,0,,24.92,,,,,2020-08-11,4.32,No,1.2096801,26.68,"{""M01"": 101.4462, ""M02"": 85.5437, ""M03"": 89.3343, ""M04"": 150.9833, ""M05"": 147.44, ""M06"": 153.0, ""M07"": 143.3945, ""M08"": 117.1791, ""M09"": 122.8255, ""M10"": 106.9883, ""M11"": 84.3165, ""M12"": 86.8481}",0.0,[],-63.45,,0.21090001,65.81,"[{""date"": ""2020-08-11"", ""volume_ratio"": 4.32, ""price"": 309.13, ""change_pct"": 3.73}, {""date"": ""2020-11-03"", ""volume_ratio"": 3.28, ""price"": 274.11, ""change_pct"": 7.22}, {""date"": ""2021-01-14"", ""volume_ratio"": 3.99, ""price"": 329.87, ""change_pct"": 6.72}]",1.28
8,BE,2024-11-01,2025-11-05,9.94,141.41,1322.64,2827372048.0,Industrials,Electrical Equipment & Parts,2025-11-03,142.37,1332.29,8.58,0.78,No,18.7,"[{""date"": ""2025-07-24"", ""volume_ratio"": 4.16, ""price_breakout_type"": ""52w_high"", ""price"": 33.06}, {""date"": ""2025-07-24"", ""volume_ratio"": 4.16, ""price_breakout_type"": ""52w_high"", ""price"": 33.06}]",4.4621,39,251,265,9.6,2025-07-24,33.06,2025-05-12,ma200_cross,2024-11-08,3.19,No,0.92011,17.11,"{""M01"": 12.5714, ""M02"": 10.4135, ""M03"": 9.912, ""M04"": 10.7327, ""M05"": 13.4886, ""M06"": 14.2184, ""M07"": 13.5441, ""M08"": 11.4791, ""M09"": 10.435, ""M10"": 10.153, ""M11"": 12.041, ""M12"": 14.412}",11.89,"[{""date"": ""2025-05-12"", ""type"": ""ma200_cross"", ""price"": 18.91}, {""date"": ""2025-05-22"", ""type"": ""ma200_cross"", ""price"": 18.37}, {""date"": ""2025-06-03"", ""type"": ""ma200_cross"", ""price"": 20.41}, {""date"": ""2025-07-24"", ""type"": ""52w_high"", ""price"": 33.06}, {""date"": ""2025-07-30"", ""type"": ""52w_high"", ""price"": 37.62}, {""date"": ""2025-08-06"", ""type"": ""52w_high"", ""price"": 38.86}, {""date"": ""2025-08-12"", ""type"": ""52w_high"", ""price"": 41.25}, {""date"": ""2025-08-22"", ""type"": ""52w_high"", ""price"": 48.54}, {""date"": ""2025-09-04"", ""type"": ""52w_high"", ""price"": 54.91}, {""date"": ""2025-09-10"", ""type"": ""52w_high"", ""price"": 62.96}]",-16.15,330.64,0.0934,19.69,"[{""date"": ""2024-11-08"", ""volume_ratio"": 3.19, ""price"": 13.17, ""change_pct"": 23.43}, {""date"": ""2024-11-15"", ""volume_ratio"": 5.94, ""price"": 21.14, ""change_pct"": 59.19}, {""date"": ""2024-11-18"", ""volume_ratio"": 3.08, ""price"": 22.81, ""change_pct"": 7.9}, {""date"": ""2025-07-09"", ""volume_ratio"": 3.65, ""price"": 28.71, ""change_pct"": 18.15}, {""date"": ""2025-07-24"", ""volume_ratio"": 4.16, ""price"": 33.06, ""change_pct"": 22.95}]",0.83
68,WKHS,2020-02-05,2021-02-04,9270.0,124020.0,1237.86,100980177210.0,Consumer Cyclical,Auto Manufacturers,2021-02-04,124020.0,1237.86,1533.0,0.95,No,30.26,[],15.213,0,0,,9210.0,,,2020-09-08,52w_high,2020-06-09,3.28,No,0.0068300003,27.24,"{""M01"": 9752.1429, ""M02"": 3588.4737, ""M03"": 2476.2857, ""M04"": 1976.2857, ""M05"": 4667.0455, ""M06"": 7339.5, ""M07"": 10699.0909, ""M08"": 11405.4545, ""M09"": 10000.5, ""M10"": 10141.3043, ""M11"": 8167.5, ""M12"": 9172.1429}",500.78,"[{""date"": ""2020-09-08"", ""type"": ""52w_high"", ""price"": 64140.0}, {""date"": ""2020-09-11"", ""type"": ""52w_high"", ""price"": 71070.0}, {""date"": ""2020-09-16"", ""type"": ""52w_high"", ""price"": 80460.0}, {""date"": ""2021-01-26"", ""type"": ""52w_high"", ""price"": 96540.0}, {""date"": ""2021-02-01"", ""type"": ""52w_high"", ""price"": 116580.0}]",236.22,,0.040799998,16.86,"[{""date"": ""2020-06-09"", ""volume_ratio"": 3.28, ""price"": 11220.0, ""change_pct"": 18.73}, {""date"": ""2020-06-10"", ""volume_ratio"": 3.42, ""price"": 12150.0, ""change_pct"": 8.29}, {""date"": ""2020-06-18"", ""volume_ratio"": 3.11, ""price"": 13620.0, ""change_pct"": 9.79}, {""date"": ""2020-06-22"", ""volume_ratio"": 3.77, ""price"": 17760.0, ""change_pct"": 21.31}, {""date"": ""2020-06-23"", ""volume_ratio"": 4.12, ""price"": 20850.0, ""change_pct"": 17.4}, {""date"": ""2020-06-24"", ""volume_ratio"": 8.44, ""price"": 25530.0, ""change_pct"": 22.45}, {""date"": ""2020-06-29"", ""volume_ratio"": 5.44, ""price"": 43530.0, ""change_pct"": 46.57}, {""date"": ""2020-06-30"", ""volume_ratio"": 5.19, ""price"": 52170.0, ""change_pct"": 19.85}, {""date"": ""2020-07-01"", ""volume_ratio"": 3.31, ""price"": 57540.0, ""change_pct"": 10.29}, {""date"": ""2021-01-26"", ""volume_ratio"": 4.85, ""price"": 96540.0, ""change_pct"": 30.23}]",0.69
58,SMCI,2023-03-13,2024-03-13,8.928,118.807,1230.72,5361102867.0,Technology,Computer Hardware,2024-03-13,118.807,1230.72,3.483,0.69,No,15.65,"[{""date"": ""2024-01-19"", ""volume_ratio"": 5.46, ""price_breakout_type"": ""52w_high"", ""price"": 42.336}]",4.385,247,250,312,9.276,2024-01-19,42.336,2024-01-19,52w_high,2023-05-03,4.24,No,0.62465,12.5,"{""M01"": 7.807, ""M02"": 8.9682, ""M03"": 6.2426, ""M04"": 3.912, ""M05"": 5.0153, ""M06"": 4.725, ""M07"": 4.5015, ""M08"": 6.4826, ""M09"": 5.9712, ""M10"": 6.0264, ""M11"": 8.3839, ""M12"": 8.4296}",166.32,"[{""date"": ""2024-01-19"", ""type"": ""52w_high"", ""price"": 42.336}, {""date"": ""2024-01-29"", ""type"": ""52w_high"", ""price"": 49.567}, {""date"": ""2024-02-05"", ""type"": ""52w_high"", ""price"": 66.335}, {""date"": ""2024-03-04"", ""type"": ""52w_high"", ""price"": 107.434}, {""date"": ""2024-03-12"", ""type"": ""52w_high"", ""price"": 116.3}]",137.82,180.63,0.1933,36.14,"[{""date"": ""2023-05-03"", ""volume_ratio"": 4.24, ""price"": 13.395, ""change_pct"": 28.27}, {""date"": ""2024-01-19"", ""volume_ratio"": 5.46, ""price"": 42.336, ""change_pct"": 35.94}]",1.91
19,CZR,2020-03-18,2021-03-18,7.1,90.6,1176.06,1446106203.0,Consumer Cyclical,Resorts & Casinos,2021-03-15,101.2,1325.35,10.09,0.39,No,29.04,[],4.7419,0,4,,10.09,,,2020-11-24,52w_high,2020-09-30,3.55,No,1.15988,37.51,"{""M01"": 59.5248, ""M02"": 62.7363, ""M03"": 36.621, ""M04"": 49.221, ""M05"": 48.265, ""M06"": 49.6475, ""M07"": 46.2855, ""M08"": 39.9814, ""M09"": 40.925, ""M10"": 42.2513, ""M11"": 51.2355, ""M12"": 55.8207}",0.0,"[{""date"": ""2020-11-24"", ""type"": ""52w_high"", ""price"": 70.1}, {""date"": ""2020-11-27"", ""type"": ""52w_high"", ""price"": 70.1}, {""date"": ""2020-12-03"", ""type"": ""52w_high"", ""price"": 71.13}, {""date"": ""2020-12-16"", ""type"": ""52w_high"", ""price"": 75.84}, {""date"": ""2021-01-07"", ""type"": ""52w_high"", ""price"": 78.06}, {""date"": ""2021-01-12"", ""type"": ""52w_high"", ""price"": 79.08}, {""date"": ""2021-01-15"", ""type"": ""52w_high"", ""price"": 80.0}, {""date"": ""2021-01-21"", ""type"": ""52w_high"", ""price"": 80.72}, {""date"": ""2021-02-05"", ""type"": ""52w_high"", ""price"": 82.88}, {""date"": ""2021-02-19"", ""type"": ""52w_high"", ""price"": 83.16}]",-16.05,,0.1122,68.62,"[{""date"": ""2020-09-30"", ""volume_ratio"": 3.55, ""price"": 56.06, ""change_pct"": 2.88}]",1.67
